"technology_node","yield","er_z_score","dr_z_score","cd_z_score","ot_z_score","spc_status"
"10nm",0.844,-0.390,0.492,-0.803,0.332,Normal
"10nm",0.724,-0.448,0.175,0.331,-0.367,Normal
"10nm",0.310,-0.285,0.002,1.514,-0.942,Normal
"10nm",0.764,-0.699,1.373,-1.680,1.688,Normal
"10nm",0.846,-0.013,0.098,0.525,0.281,Normal
"10nm",0.821,-1.968,-0.027,-0.040,0.256,Normal
"10nm",0.449,0.108,-1.065,-0.377,-1.067,Normal
"10nm",0.587,0.360,-0.269,0.489,-0.894,Normal
"10nm",0.551,-1.450,0.149,0.165,-0.699,Normal
"10nm",0.462,-1.175,1.487,1.228,1.617,Normal
"10nm",0.605,0.354,-0.127,-0.259,-0.404,Normal
"10nm",0.680,0.103,-0.067,-0.285,-1.686,Normal
"10nm",0.600,-2.573,-0.192,0.726,0.388,Warning
"10nm",0.723,-1.002,-0.303,0.034,0.902,Normal
"10nm",0.570,-1.231,0.336,0.301,-1.596,Normal
"10nm",0.296,-0.938,-0.579,1.936,0.796,Normal
"10nm",0.542,-0.198,0.782,0.055,-0.492,Normal
"10nm",0.950,-0.170,-0.098,1.115,-2.180,Warning
"10nm",0.379,-0.205,0.723,1.415,-0.386,Normal
"10nm",0.801,0.467,0.543,-0.707,0.178,Normal
"10nm",0.247,-1.024,0.200,1.512,-1.445,Normal
"10nm",0.729,0.141,-0.104,-0.265,-1.199,Normal
"10nm",0.383,0.134,-0.767,1.401,-0.144,Normal
"10nm",0.665,-1.438,0.458,-0.358,1.096,Normal
"10nm",0.796,0.535,0.066,-1.586,1.262,Normal
"10nm",0.794,-1.690,0.440,-1.029,0.207,Normal
"10nm",0.667,-0.655,0.573,1.068,1.509,Normal
"10nm",0.578,-1.733,0.239,-0.528,-1.017,Normal
"10nm",0.573,-0.929,1.053,0.011,-0.307,Normal
"10nm",0.417,-0.346,-0.485,0.007,-1.385,Normal
"10nm",0.521,-0.762,0.087,1.229,-0.619,Normal
"10nm",0.589,-1.514,0.948,1.249,-1.119,Normal
"10nm",0.394,-0.779,-0.040,2.255,1.775,Warning
"10nm",0.493,0.674,0.661,-0.326,-0.193,Normal
"10nm",0.690,0.146,1.663,0.234,1.545,Normal
"10nm",0.341,-0.994,1.402,-0.180,-0.507,Normal
"10nm",0.654,-0.553,1.365,-0.364,-0.272,Normal
"10nm",0.505,-1.237,0.594,-0.161,-1.088,Normal
"10nm",0.979,-1.376,0.169,0.090,0.810,Normal
"10nm",0.451,-0.294,-0.553,1.066,1.045,Normal
"10nm",0.559,-0.695,-0.601,-1.731,-1.922,Normal
"10nm",0.529,-0.906,0.949,0.276,-1.187,Normal
"10nm",0.603,0.662,-2.688,-0.557,1.657,Warning
"10nm",0.714,-0.106,-0.217,0.991,-1.809,Normal
"10nm",0.629,0.669,0.162,0.073,-0.623,Normal
"10nm",0.556,-0.798,1.766,1.036,1.505,Normal
"10nm",0.982,-0.778,0.942,-0.326,-0.040,Normal
"10nm",0.609,0.280,0.394,0.401,-0.071,Normal
"10nm",0.765,-0.286,0.361,-0.770,0.204,Normal
"10nm",0.605,0.329,0.157,0.395,1.001,Normal
"10nm",0.848,0.263,-0.521,1.221,-0.799,Normal
"10nm",0.276,-0.026,0.264,1.753,-1.479,Normal
"10nm",0.419,-1.493,-1.489,-0.990,1.343,Normal
"10nm",0.679,-0.678,0.167,-0.226,0.549,Normal
"10nm",0.623,0.821,1.444,0.807,0.883,Normal
"10nm",0.430,-0.085,1.754,-0.292,-0.203,Normal
"10nm",0.513,-0.920,1.620,2.189,-0.458,Warning
"10nm",0.674,0.369,-0.929,-0.462,-0.023,Normal
"10nm",0.669,-2.220,1.061,0.400,-0.151,Warning
"10nm",0.944,-1.029,-1.477,0.998,0.674,Normal
"10nm",0.484,-0.303,-1.552,-0.201,0.663,Normal
"10nm",0.842,1.336,0.878,-1.069,0.084,Normal
"10nm",0.584,-0.745,0.565,-1.100,-1.140,Normal
"10nm",0.645,0.219,1.145,0.741,2.304,Warning
"10nm",0.642,-0.125,1.412,-0.377,1.942,Normal
"10nm",0.375,-0.637,-0.371,0.479,-1.464,Normal
"10nm",0.501,-0.382,0.182,-0.314,0.128,Normal
"10nm",0.486,0.005,-0.375,0.445,0.260,Normal
"10nm",0.688,-0.472,-0.207,-1.607,0.564,Normal
"10nm",0.481,0.818,-0.661,1.368,1.066,Normal
"10nm",0.473,-0.121,0.140,0.752,-0.589,Normal
"10nm",0.934,0.646,-0.655,-1.000,-0.054,Normal
"10nm",0.757,1.120,0.339,-0.565,-0.207,Normal
"10nm",0.519,0.970,-0.114,0.773,-0.231,Normal
"10nm",0.300,-1.256,-0.214,2.366,-0.236,Warning
"10nm",0.641,-0.487,-0.469,0.890,0.111,Normal
"10nm",0.349,0.135,-1.693,1.389,-0.726,Normal
"10nm",0.493,-0.118,0.066,-0.069,-0.614,Normal
"10nm",0.420,0.074,-1.426,0.331,-0.266,Normal
"10nm",0.878,0.848,-0.091,0.745,-1.004,Normal
"10nm",0.658,0.632,-0.365,-1.130,0.394,Normal
"10nm",0.526,2.615,-0.148,1.313,-1.680,Warning
"10nm",0.445,0.151,0.574,1.032,0.599,Normal
"10nm",0.528,1.143,1.267,0.290,-0.180,Normal
"10nm",0.478,-1.279,-0.304,-1.994,-2.057,Warning
"10nm",0.520,-0.703,2.940,1.214,-0.577,Warning
"10nm",0.643,-0.053,-0.574,-0.442,-1.147,Normal
"10nm",0.350,1.258,0.587,1.742,0.267,Normal
"10nm",0.755,-0.499,-0.481,-0.934,0.817,Normal
"10nm",0.435,-0.794,0.916,1.843,1.172,Normal
"10nm",0.488,2.481,0.726,0.789,2.131,Warning
"10nm",0.754,0.531,1.154,0.801,-0.016,Normal
"10nm",0.547,0.419,0.567,0.923,0.878,Normal
"10nm",0.461,0.174,-0.891,0.447,0.284,Normal
"10nm",0.350,-0.327,0.365,1.458,-0.270,Normal
"10nm",0.445,0.594,-1.101,-1.407,-0.212,Normal
"10nm",0.563,0.252,0.361,-0.064,1.853,Normal
"10nm",0.417,-0.291,-0.305,-0.761,2.367,Warning
"10nm",0.365,0.318,-0.554,0.185,-0.526,Normal
"10nm",0.591,-0.058,1.197,0.970,0.148,Normal
"10nm",0.372,0.384,0.678,2.254,-0.129,Warning
"10nm",0.464,0.331,-0.015,-0.951,-0.023,Normal
"10nm",0.961,0.093,1.464,-0.240,-0.468,Normal
"10nm",0.780,0.667,-0.011,0.981,-1.012,Normal
"10nm",0.460,0.031,1.515,-1.236,0.467,Normal
"10nm",0.537,0.471,0.022,1.242,0.792,Normal
"10nm",0.441,0.043,1.181,0.929,0.168,Normal
"10nm",0.586,1.012,-1.653,0.208,0.513,Normal
"10nm",0.419,0.229,1.709,-0.958,-0.147,Normal
"10nm",0.671,0.438,0.435,-2.608,0.776,Warning
"10nm",0.639,0.425,-1.424,-0.428,-0.685,Normal
"10nm",0.451,-0.770,-0.103,-1.217,-2.175,Warning
"10nm",0.404,0.843,0.285,0.925,1.205,Normal
"10nm",0.322,-1.373,0.366,1.845,0.816,Normal
"10nm",0.564,-0.233,1.029,0.976,0.159,Normal
"10nm",0.663,1.362,0.774,1.256,1.046,Normal
"10nm",0.627,0.039,-0.894,0.653,-0.576,Normal
"10nm",0.617,-0.666,-0.373,-0.023,0.852,Normal
"10nm",0.905,-0.759,0.071,-1.575,-0.225,Normal
"10nm",0.883,-1.051,-1.695,-2.386,0.312,Warning
"10nm",0.672,-0.002,-0.233,0.805,-0.681,Normal
"10nm",0.673,-1.120,1.167,-3.069,-1.251,OOC
"10nm",0.448,-0.707,0.880,0.387,-0.891,Normal
"10nm",0.972,0.090,0.587,1.070,1.106,Normal
"10nm",0.650,0.118,1.033,-0.963,-1.303,Normal
"10nm",0.873,-1.327,-0.907,-0.409,-1.161,Normal
"10nm",0.406,0.800,-1.413,1.047,-0.214,Normal
"10nm",0.606,0.175,1.772,-0.356,-1.172,Normal
"10nm",0.697,0.096,-0.067,1.193,0.029,Normal
"10nm",0.690,-0.564,0.499,-1.450,-1.527,Normal
"10nm",0.616,1.203,0.156,0.841,-0.577,Normal
"10nm",0.759,-0.610,2.157,-0.261,-0.639,Warning
"10nm",0.553,-0.232,0.091,0.428,0.309,Normal
"10nm",0.586,0.992,0.021,-0.388,0.519,Normal
"10nm",0.475,-0.595,-0.437,0.142,-0.463,Normal
"10nm",0.616,-0.748,0.807,-0.028,0.805,Normal
"10nm",0.912,0.005,-0.040,-0.203,0.995,Normal
"10nm",0.546,0.038,1.518,-1.031,-1.586,Normal
"10nm",0.483,-0.548,1.634,-0.117,-0.353,Normal
"10nm",0.634,-0.850,0.050,0.281,0.580,Normal
"10nm",0.773,0.602,-0.170,0.276,-0.636,Normal
"10nm",0.486,-1.177,0.850,0.599,1.499,Normal
"10nm",0.776,0.253,-1.086,0.569,-0.758,Normal
"10nm",0.625,0.187,0.165,-0.267,-0.056,Normal
"10nm",0.564,1.372,2.220,-1.626,0.003,Warning
"10nm",0.480,-0.861,0.776,-1.705,-1.620,Normal
"10nm",0.781,-0.539,-1.248,-1.322,-1.369,Normal
"10nm",0.742,0.407,0.235,0.660,1.407,Normal
"10nm",0.622,0.121,0.085,0.466,-0.133,Normal
"10nm",0.428,0.270,0.677,1.574,-0.281,Normal
"10nm",0.631,0.190,-0.567,1.134,1.779,Normal
"10nm",0.673,-0.033,0.545,-0.958,-0.611,Normal
"10nm",0.582,-0.161,-1.331,0.248,-0.199,Normal
"10nm",0.908,-0.025,1.904,-1.413,0.386,Normal
"10nm",0.534,0.112,-0.110,1.101,0.562,Normal
"10nm",0.525,0.410,-0.906,-1.788,-0.485,Normal
"10nm",0.486,0.100,-1.543,0.671,0.261,Normal
"10nm",0.664,0.335,-1.042,0.901,-0.343,Normal
"10nm",0.651,1.902,0.002,0.425,-0.801,Normal
"10nm",0.456,-0.519,-1.564,-0.037,1.350,Normal
"10nm",0.606,0.272,-0.787,0.171,0.462,Normal
"10nm",0.486,-0.511,0.492,-1.744,-0.476,Normal
"10nm",0.727,0.677,0.254,0.561,-0.321,Normal
"10nm",0.600,-0.747,-0.219,-0.329,0.658,Normal
"10nm",0.700,1.286,0.370,-0.932,1.318,Normal
"10nm",0.654,0.550,-0.074,0.798,-1.445,Normal
"10nm",0.642,0.423,0.263,0.432,-0.052,Normal
"10nm",0.624,0.343,-0.907,0.258,0.405,Normal
"10nm",0.420,-1.417,-0.999,-0.837,-1.048,Normal
"10nm",0.488,0.554,1.246,-1.192,1.754,Normal
"10nm",0.446,0.273,0.264,4.731,0.970,OOC
"10nm",0.681,-0.715,0.512,0.589,1.698,Normal
"10nm",0.816,0.578,0.450,0.927,-0.748,Normal
"10nm",0.668,0.462,0.274,0.900,-1.552,Normal
"10nm",0.634,1.521,-0.191,-0.719,0.095,Normal
"10nm",0.535,0.594,1.057,1.371,-0.719,Normal
"10nm",0.491,0.743,-0.791,0.589,-1.591,Normal
"10nm",0.597,1.363,-0.337,-0.584,-2.141,Warning
"10nm",0.582,0.755,-0.608,0.571,0.832,Normal
"10nm",0.476,1.200,-1.612,-0.186,0.427,Normal
"10nm",0.529,0.806,-0.931,0.026,-0.731,Normal
"10nm",0.575,1.081,0.608,-0.176,-0.033,Normal
"10nm",0.783,1.440,-1.158,0.802,0.624,Normal
"10nm",0.371,1.599,0.172,2.480,-0.011,Warning
"10nm",0.683,0.581,0.659,-0.578,-0.641,Normal
"10nm",0.577,0.540,-0.061,-0.390,-0.923,Normal
"10nm",0.539,1.651,-0.406,-0.852,-0.704,Normal
