"lot_id","technology_node","product_type","process_date","etch_tools","litho_tools","deposition_tools","implant_tools","wafer_count","avg_yield","std_yield","min_yield","max_yield","ooc_wafer_count","warning_wafer_count","er_ooc_count","dr_ooc_count","cd_ooc_count","ot_ooc_count","avg_defect_count","avg_defect_density","avg_cd","avg_oxide_thickness","avg_vth","avg_resistance","avg_etch_rate","avg_deposition_rate","yield_risk_status","worst_yield_rank","ooc_rate_pct"
LOT_0021,"14nm",CPU,2023-01-21,ETCH_04,LITHO_02,DEP_02,IMP_01,25,0.354,0.075,0.180,0.461,0,5,0,0,0,0,639.84,0.906,28.140,60.496,0.680,103.803,3.571,1.930,Warning,2,0.0
LOT_0019,"22nm",ASIC,2023-01-19,ETCH_05,LITHO_04,DEP_03,IMP_02,25,0.358,0.082,0.232,0.610,0,2,0,0,0,0,633.40,0.903,28.124,59.731,0.660,101.512,3.534,1.902,Warning,1,0.0
LOT_0013,"14nm",CPU,2023-01-13,ETCH_04,LITHO_03,DEP_01,IMP_01,25,0.367,0.108,0.217,0.759,0,1,0,0,0,0,666.40,0.938,27.771,60.119,0.687,101.816,3.570,1.926,Warning,3,0.0
LOT_0031,"28nm",GPU,2023-01-31,ETCH_02,LITHO_01,DEP_01,IMP_03,25,0.373,0.082,0.266,0.607,0,6,0,0,0,0,711.04,1.002,28.254,59.134,0.683,102.137,3.722,1.903,Warning,4,0.0
LOT_0002,"22nm",FPGA,2023-01-02,ETCH_02,LITHO_04,DEP_03,IMP_02,25,0.373,0.111,0.216,0.587,0,2,0,0,0,0,623.92,0.891,27.460,59.470,0.658,103.112,3.564,2.000,Warning,2,0.0
LOT_0005,"14nm",Memory,2023-01-05,ETCH_05,LITHO_03,DEP_01,IMP_03,25,0.374,0.109,0.221,0.691,0,2,0,0,0,0,614.76,0.867,27.680,60.593,0.643,101.809,3.510,1.981,Warning,1,0.0
LOT_0012,"28nm",Memory,2023-01-12,ETCH_02,LITHO_03,DEP_01,IMP_01,25,0.378,0.073,0.228,0.518,0,3,0,0,0,0,638.32,0.902,28.197,59.241,0.673,100.909,3.565,1.955,Warning,3,0.0
LOT_0006,"28nm",ASIC,2023-01-06,ETCH_01,LITHO_04,DEP_01,IMP_03,25,0.382,0.087,0.235,0.593,0,6,0,0,0,0,589.16,0.844,27.423,60.731,0.658,102.829,3.570,1.988,Warning,2,0.0
LOT_0050,"10nm",Memory,2023-02-19,ETCH_03,LITHO_04,DEP_01,IMP_03,25,0.515,0.144,0.210,0.782,0,10,0,0,0,0,800.44,1.133,22.008,55.229,0.616,99.756,3.670,1.755,Normal,1,0.0
LOT_0018,"10nm",CPU,2023-01-18,ETCH_02,LITHO_04,DEP_03,IMP_01,25,0.517,0.151,0.322,0.961,0,5,0,0,0,0,667.12,0.951,22.376,55.893,0.642,101.733,3.633,1.945,Normal,1,0.0
LOT_0037,"7nm",CPU,2023-02-06,ETCH_04,LITHO_03,DEP_01,IMP_01,25,0.539,0.131,0.317,0.824,0,3,0,0,0,0,751.16,1.058,17.901,50.420,0.582,96.325,3.669,1.849,Normal,1,0.0
LOT_0044,"10nm",Memory,2023-02-13,ETCH_01,LITHO_01,DEP_03,IMP_02,25,0.543,0.154,0.253,0.823,0,1,0,0,0,0,727.08,1.026,22.058,55.341,0.622,99.256,3.693,1.897,Normal,2,0.0
LOT_0017,"10nm",Memory,2023-01-17,ETCH_02,LITHO_04,DEP_01,IMP_01,25,0.554,0.162,0.300,0.934,0,4,0,0,0,0,687.88,0.968,22.420,54.598,0.634,97.601,3.626,1.910,Normal,3,0.0
LOT_0047,"7nm",FPGA,2023-02-16,ETCH_02,LITHO_04,DEP_01,IMP_03,25,0.561,0.135,0.344,0.917,1,2,1,0,0,0,754.04,1.065,18.041,50.045,0.595,99.538,3.754,1.795,Normal,1,4.0
LOT_0046,"7nm",GPU,2023-02-15,ETCH_05,LITHO_01,DEP_01,IMP_01,25,0.570,0.155,0.340,0.880,0,5,0,0,0,0,754.68,1.079,18.273,49.766,0.591,96.796,3.629,1.768,Normal,1,0.0
LOT_0035,"10nm",ASIC,2023-02-04,ETCH_01,LITHO_01,DEP_03,IMP_02,25,0.573,0.166,0.330,0.888,0,3,0,0,0,0,706.80,1.005,21.836,54.948,0.614,97.838,3.626,1.858,Normal,1,0.0
LOT_0038,"10nm",GPU,2023-02-07,ETCH_05,LITHO_04,DEP_01,IMP_02,25,0.573,0.145,0.339,0.883,1,5,1,0,0,0,751.08,1.064,22.176,54.671,0.609,98.309,3.555,1.832,Normal,1,4.0
LOT_0040,"7nm",FPGA,2023-02-09,ETCH_01,LITHO_01,DEP_01,IMP_01,25,0.578,0.159,0.292,0.861,0,4,0,0,0,0,750.12,1.064,18.079,49.770,0.584,97.828,3.654,1.823,Normal,2,0.0
LOT_0045,"7nm",CPU,2023-02-14,ETCH_05,LITHO_04,DEP_03,IMP_03,25,0.581,0.130,0.334,0.866,0,3,0,0,0,0,734.84,1.046,17.790,49.923,0.579,97.902,3.623,1.848,Normal,2,0.0
LOT_0033,"10nm",FPGA,2023-02-02,ETCH_03,LITHO_04,DEP_01,IMP_03,25,0.581,0.113,0.371,0.816,1,2,0,0,1,0,708.32,0.992,22.397,54.581,0.629,98.376,3.677,1.899,Normal,1,4.0
LOT_0010,"10nm",Memory,2023-01-10,ETCH_03,LITHO_01,DEP_03,IMP_03,25,0.582,0.194,0.247,0.979,0,2,0,0,0,0,629.32,0.887,22.514,54.609,0.598,99.484,3.550,1.961,Normal,4,0.0
LOT_0042,"10nm",CPU,2023-02-11,ETCH_04,LITHO_01,DEP_02,IMP_02,25,0.582,0.130,0.286,0.786,0,5,0,0,0,0,696.92,0.985,21.750,54.604,0.596,99.711,3.727,1.928,Normal,2,0.0
LOT_0030,"7nm",GPU,2023-01-30,ETCH_03,LITHO_01,DEP_03,IMP_03,25,0.589,0.150,0.345,0.924,0,4,0,0,0,0,681.32,0.973,18.245,49.525,0.598,96.325,3.651,1.877,Normal,2,0.0
LOT_0020,"7nm",FPGA,2023-01-20,ETCH_01,LITHO_03,DEP_03,IMP_02,25,0.614,0.174,0.378,0.921,1,2,0,1,0,0,648.24,0.923,18.334,50.030,0.577,96.989,3.599,1.887,Normal,3,4.0
LOT_0032,"10nm",CPU,2023-02-01,ETCH_01,LITHO_01,DEP_02,IMP_01,25,0.618,0.120,0.428,0.908,0,1,0,0,0,0,675.80,0.950,21.954,55.179,0.620,98.866,3.617,1.902,Normal,3,0.0
LOT_0015,"10nm",ASIC,2023-01-15,ETCH_03,LITHO_02,DEP_01,IMP_03,25,0.625,0.164,0.276,0.982,0,4,0,0,0,0,650.16,0.912,22.303,55.296,0.622,100.236,3.585,1.930,Normal,2,0.0
LOT_0003,"10nm",CPU,2023-01-03,ETCH_04,LITHO_03,DEP_02,IMP_01,25,0.634,0.167,0.394,0.944,0,7,0,0,0,0,613.32,0.874,21.782,55.751,0.627,99.949,3.550,1.990,Normal,4,0.0
LOT_0026,"7nm",FPGA,2023-01-26,ETCH_01,LITHO_04,DEP_01,IMP_03,25,0.635,0.156,0.352,0.914,0,2,0,0,0,0,682.52,0.970,17.947,50.621,0.585,99.254,3.620,1.884,Normal,4,0.0
LOT_0027,"10nm",GPU,2023-01-27,ETCH_04,LITHO_02,DEP_02,IMP_03,25,0.660,0.152,0.406,0.972,1,2,0,0,1,0,681.76,0.966,21.846,54.436,0.629,100.550,3.594,1.951,Normal,2,4.0
LOT_0008,"10nm",CPU,2023-01-08,ETCH_03,LITHO_01,DEP_01,IMP_01,25,0.665,0.154,0.310,0.846,1,3,1,0,0,0,621.60,0.877,21.970,55.680,0.598,101.697,3.525,1.961,Normal,5,4.0
LOT_0001,"10nm",CPU,2023-01-01,ETCH_02,LITHO_01,DEP_03,IMP_01,25,0.694,0.158,0.391,0.940,0,5,0,0,0,0,627.60,0.874,21.233,55.570,0.606,97.674,3.521,1.971,Normal,6,0.0
