"technology_node","lot_id","wafer_id","etch_rate","deposition_rate","critical_dimension","oxide_thickness","yield","er_flag","dr_flag","cd_flag","ot_flag"
"7nm",LOT_0030,W008,3.63,1.81,19.44,48.91,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W010,3.68,1.69,16.42,49.85,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W023,3.63,1.80,18.10,48.55,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W020,3.72,1.95,17.60,49.27,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W005,3.71,1.84,16.98,51.84,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W018,3.55,1.82,19.91,50.57,0.44,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W017,3.62,1.86,17.33,48.72,0.45,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W009,3.66,1.83,16.82,52.13,0.45,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W005,3.80,1.70,17.26,46.60,0.45,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W022,3.61,1.85,18.85,51.86,0.45,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W017,3.75,1.94,19.18,48.43,0.45,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W013,3.68,1.73,15.63,47.59,0.46,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"7nm",LOT_0037,W018,3.61,1.79,17.86,51.36,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W021,3.61,2.02,19.98,51.66,0.46,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W008,3.46,1.87,19.20,50.59,0.46,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W020,3.46,1.88,17.52,49.62,0.47,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W019,3.66,1.94,16.85,51.69,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W009,3.59,1.80,16.75,48.42,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W016,3.65,1.69,18.81,50.35,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W024,3.72,1.85,16.59,52.76,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W002,3.57,1.98,19.64,48.66,0.47,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W002,3.70,1.96,16.43,49.23,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W004,3.65,1.98,17.62,50.91,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W008,3.70,1.88,18.26,51.83,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W001,3.67,1.77,18.70,54.03,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"7nm",LOT_0047,W018,3.94,1.87,19.97,48.95,0.48,OOC,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W022,3.61,1.87,19.26,51.55,0.48,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W006,3.54,1.70,17.41,50.05,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W003,3.72,1.74,19.94,49.99,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W017,3.54,1.93,16.01,51.72,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W024,3.47,1.76,16.85,48.82,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W009,3.74,1.76,18.53,50.97,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W015,3.62,1.85,17.21,51.49,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W012,3.64,1.81,16.80,48.36,0.49,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W022,3.72,1.79,17.39,50.86,0.50,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W002,3.85,1.75,20.60,51.98,0.50,WARNING,IN_CONTROL,WARNING,IN_CONTROL
"7nm",LOT_0047,W010,3.72,1.71,18.11,52.76,0.50,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W012,3.67,1.96,20.41,47.06,0.51,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"7nm",LOT_0020,W025,3.48,1.87,17.47,49.37,0.51,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W003,3.80,1.83,19.40,50.55,0.51,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W015,3.66,1.78,17.40,48.36,0.51,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W016,3.73,1.81,16.39,46.64,0.52,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W004,3.55,1.98,17.53,46.83,0.52,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W003,3.89,1.96,17.08,47.82,0.52,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W004,3.55,1.85,18.70,51.14,0.52,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W017,3.78,1.67,17.86,49.48,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W019,3.61,1.75,17.55,47.16,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W009,3.73,1.89,17.78,50.40,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W005,3.67,2.02,18.55,51.78,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W024,3.70,1.70,16.28,50.68,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W011,3.61,1.68,18.63,47.70,0.53,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W012,3.67,1.71,18.06,49.78,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W005,3.81,2.04,18.00,46.96,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W009,3.66,1.93,17.18,48.99,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W015,3.63,1.84,17.13,49.93,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W021,3.69,1.95,17.77,46.48,0.54,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W002,3.60,1.86,17.28,51.05,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W022,3.83,1.72,17.32,49.27,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W003,3.67,1.90,17.70,53.24,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W013,3.61,1.84,18.06,52.60,0.55,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W023,3.59,1.78,17.75,50.72,0.56,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W019,3.81,1.76,18.14,48.89,0.56,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W014,3.61,1.73,18.19,51.14,0.56,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W015,3.78,1.75,17.11,46.36,0.56,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W012,3.68,1.90,18.04,46.33,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W011,3.69,1.89,17.69,50.78,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W002,3.67,1.87,18.61,51.21,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W022,3.66,1.84,17.70,46.37,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W019,3.63,1.73,16.72,52.71,0.57,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W006,3.54,2.01,20.23,50.09,0.58,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"7nm",LOT_0037,W003,3.76,1.86,16.76,49.35,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W010,3.48,1.87,16.74,50.63,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W001,3.76,1.75,18.34,47.45,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W011,3.57,1.72,18.85,49.99,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W015,3.72,1.95,16.80,49.78,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W018,3.74,1.84,16.24,50.82,0.58,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W001,3.58,1.86,18.68,53.38,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W003,3.59,1.74,17.55,49.64,0.59,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W006,3.70,1.88,18.27,48.54,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W004,3.54,1.83,17.76,51.85,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W023,3.67,1.92,17.97,51.08,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W016,3.58,1.78,19.88,50.74,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W006,3.60,1.84,17.03,47.36,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W014,3.53,1.88,16.09,51.05,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W005,3.69,1.84,18.86,46.87,0.60,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W012,3.61,1.63,18.38,48.66,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W021,3.56,1.83,17.52,50.73,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W010,3.46,1.64,18.15,47.89,0.61,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W004,3.70,1.87,18.36,49.63,0.61,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W012,3.73,2.03,18.78,50.75,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W014,3.64,1.80,16.58,52.39,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W013,3.65,1.84,17.02,54.41,0.62,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"7nm",LOT_0046,W007,3.62,1.88,17.79,49.14,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W014,3.73,1.91,17.66,48.11,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W017,3.63,1.80,17.39,53.12,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W019,3.64,1.96,18.23,50.77,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W019,3.81,1.77,19.67,48.48,0.63,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W025,3.70,1.80,19.04,48.29,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W009,3.65,1.86,17.51,50.75,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W021,3.49,1.81,18.03,48.98,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W004,3.65,1.69,18.20,48.61,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W003,3.61,1.76,17.36,50.08,0.64,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W021,3.76,1.95,17.79,52.42,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W005,3.68,1.85,18.39,53.94,0.65,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W006,3.55,1.85,17.07,48.61,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W021,3.51,1.79,18.63,49.74,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W016,3.58,1.88,19.91,51.98,0.66,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W011,3.80,1.88,16.49,49.08,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W014,3.65,1.77,17.33,50.81,0.67,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W002,3.61,1.70,18.37,52.85,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W024,3.48,2.13,17.66,50.61,0.68,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W023,3.79,1.96,17.50,49.25,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W013,3.69,1.68,19.09,53.96,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W013,3.73,1.80,17.97,48.61,0.68,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W007,3.74,1.79,16.53,48.81,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W019,3.71,1.87,18.42,52.57,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W020,3.49,1.82,17.94,51.26,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W024,3.59,1.83,16.72,49.46,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W024,3.75,1.75,16.09,48.17,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W007,3.61,1.77,18.07,49.30,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W020,3.71,1.75,16.71,47.65,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W024,3.66,1.90,19.63,51.75,0.69,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W004,3.79,2.05,18.53,53.52,0.70,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W011,3.81,1.99,17.53,49.55,0.71,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W009,3.66,1.84,19.65,50.09,0.72,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W016,3.57,1.89,19.80,48.78,0.72,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W006,3.58,2.06,17.37,47.72,0.72,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W016,3.75,1.76,19.61,49.32,0.73,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W025,3.41,1.80,19.56,49.85,0.73,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W018,3.59,1.95,17.70,46.80,0.73,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W022,3.57,1.76,17.08,51.02,0.74,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W011,3.54,1.86,17.61,51.37,0.74,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W020,3.69,1.78,17.50,48.41,0.74,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W024,3.65,1.94,17.39,51.61,0.74,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W019,3.64,1.90,18.68,49.70,0.74,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W018,3.61,1.83,17.37,51.81,0.75,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W010,3.57,1.62,19.61,48.69,0.75,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W007,3.57,1.94,18.27,48.67,0.75,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W004,3.67,1.70,16.64,52.91,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W007,3.52,1.94,18.52,46.98,0.76,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W017,3.53,1.88,19.47,50.60,0.77,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W023,3.65,1.84,19.06,45.93,0.77,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"7nm",LOT_0047,W003,3.77,1.82,18.41,48.91,0.77,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W007,3.56,2.02,17.58,54.11,0.78,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"7nm",LOT_0045,W002,3.53,1.92,19.03,49.61,0.78,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W020,3.75,1.65,18.56,51.23,0.78,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W015,3.60,1.86,17.79,52.04,0.78,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W023,3.59,2.20,18.68,49.88,0.79,IN_CONTROL,OOC,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W001,3.65,1.79,18.08,51.66,0.79,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W016,3.72,1.89,18.32,46.79,0.79,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W018,3.73,1.83,17.60,50.44,0.79,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W001,3.61,1.61,17.67,51.53,0.81,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W012,3.67,1.82,17.47,46.95,0.82,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W017,3.74,1.68,17.98,49.47,0.82,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W025,3.60,2.03,19.68,52.56,0.82,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W020,3.60,1.82,17.92,50.52,0.85,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W009,3.56,1.77,17.86,52.31,0.86,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W007,3.56,1.96,18.43,52.00,0.87,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W014,3.51,1.71,17.83,47.61,0.88,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W025,3.78,1.86,18.97,53.98,0.89,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W005,3.62,1.93,17.65,49.75,0.90,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W008,3.67,1.73,19.91,50.24,0.90,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W001,3.65,1.88,17.06,50.65,0.91,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
